domain,path,chars,bytes,words,lines
paakarinpysakki.fi,scraped/paakarinpysakki.fi.txt,51,51,8,1
paakkanenlaw.fi,scraped/paakkanenlaw.fi.txt,1608,1657,157,17
paakkari.fi,scraped/paakkari.fi.txt,51,51,8,1
paakkonenoy.fi,scraped/paakkonenoy.fi.txt,223,223,37,4
paakkunainengroup.fi,scraped/paakkunainengroup.fi.txt,1005,1044,105,7
paallikot.fi,scraped/paallikot.fi.txt,727,759,78,15
paalulla.com,scraped/paalulla.com.txt,883,924,99,19
paalumedia.fi,scraped/paalumedia.fi.txt,1561,1606,174,32
paalupartners.fi,scraped/paalupartners.fi.txt,464,487,52,12
paaluperustajat.fi,scraped/paaluperustajat.fi.txt,1355,1394,132,8
paamaara.com,scraped/paamaara.com.txt,1036,1101,112,4
paamentorinne.fi,scraped/paamentorinne.fi.txt,51,51,8,1
paami.fi,scraped/paami.fi.txt,1519,1563,157,14
paaniaani.fi,scraped/paaniaani.fi.txt,88,90,13,2
paanti.fi,scraped/paanti.fi.txt,1556,1584,154,16
paaovi.fi,scraped/paaovi.fi.txt,2398,2512,247,13
paapero.fi,scraped/paapero.fi.txt,1226,1260,133,10
paapo.fi,scraped/paapo.fi.txt,276,299,39,4
paasikivi.fi,scraped/paasikivi.fi.txt,51,51,8,1
paasitilit.fi,scraped/paasitilit.fi.txt,2181,2259,232,11
paasitorni.fi,scraped/paasitorni.fi.txt,1130,1165,127,13
paasivirta.com,scraped/paasivirta.com.txt,914,914,121,4
paaskoti.fi,scraped/paaskoti.fi.txt,818,841,89,12
paasky.com,scraped/paasky.com.txt,1633,1675,165,12
paaskyvuori.fi,scraped/paaskyvuori.fi.txt,51,51,8,1
paasykoevalmennus.fi,scraped/paasykoevalmennus.fi.txt,1163,1212,109,7
paatalo.com,scraped/paatalo.com.txt,51,51,8,1
paatili.fi,scraped/paatili.fi.txt,3304,3452,346,38
paatytuote.com,scraped/paatytuote.com.txt,1679,1687,263,11
paavalmentaja.fi,scraped/paavalmentaja.fi.txt,51,51,8,1
paavolagroup.fi,scraped/paavolagroup.fi.txt,33,33,6,1
paavolanvesi.fi,scraped/paavolanvesi.fi.txt,598,621,70,10
paavonen.fi,scraped/paavonen.fi.txt,40,43,5,2
paavotamminen.com,scraped/paavotamminen.com.txt,58,58,7,2
pablo.fi,scraped/pablo.fi.txt,18,18,3,1
pacco.fi,scraped/pacco.fi.txt,1584,1634,166,14
pace.sport,scraped/pace.sport.txt,225,225,34,7
